time,Open,High,Low,Close
2019-01-01 22:00:00,1.14649,1.14658,1.1463,1.14648
2019-01-01 22:30:00,1.14653,1.14653,1.14616,1.14641
2019-01-01 23:00:00,1.1464,1.14678,1.14579,1.14665
2019-01-01 23:30:00,1.14669,1.14672,1.14614,1.14614
2019-01-02 00:00:00,1.14614,1.14628,1.14575,1.14582
2019-01-02 00:30:00,1.14582,1.14591,1.14546,1.14565
2019-01-02 01:00:00,1.14562,1.14566,1.14503,1.14524
2019-01-02 01:30:00,1.14524,1.1454,1.14462,1.14523
2019-01-02 02:00:00,1.14526,1.14535,1.1447,1.14485
2019-01-02 02:30:00,1.14486,1.14507,1.1443,1.14458
2019-01-02 03:00:00,1.14462,1.14481,1.14448,1.14478
2019-01-02 03:30:00,1.14481,1.14486,1.14448,1.14457
2019-01-02 04:00:00,1.14454,1.14468,1.14437,1.14446
2019-01-02 04:30:00,1.1445,1.14472,1.1443,1.1445
2019-01-02 05:00:00,1.14454,1.14581,1.14454,1.1458
2019-01-02 05:30:00,1.14576,1.14791,1.14574,1.14782
2019-01-02 06:00:00,1.14782,1.1497,1.1477,1.14942
2019-01-02 06:30:00,1.14946,1.14946,1.14825,1.14856
2019-01-02 07:00:00,1.14853,1.14932,1.14822,1.14833
2019-01-02 07:30:00,1.14834,1.1485,1.14738,1.14768
2019-01-02 08:00:00,1.14768,1.14781,1.14496,1.14533
2019-01-02 08:30:00,1.14532,1.14532,1.14288,1.14484
2019-01-02 09:00:00,1.14486,1.14498,1.14358,1.14376
2019-01-02 09:30:00,1.14376,1.1442,1.14224,1.14341
2019-01-02 10:00:00,1.14338,1.14382,1.14322,1.14374
2019-01-02 10:30:00,1.1437,1.14416,1.14353,1.14371
2019-01-02 11:00:00,1.14368,1.14392,1.14247,1.14334
2019-01-02 11:30:00,1.14334,1.1438,1.14322,1.14336
2019-01-02 12:00:00,1.1434,1.1434,1.14024,1.14031
2019-01-02 12:30:00,1.14031,1.1411,1.13979,1.14051
2019-01-02 13:00:00,1.14048,1.14057,1.13802,1.13816
2019-01-02 13:30:00,1.13814,1.13872,1.13674,1.13718
2019-01-02 14:00:00,1.13715,1.13754,1.13637,1.13684
2019-01-02 14:30:00,1.13687,1.13735,1.1358,1.13608
2019-01-02 15:00:00,1.1361,1.13698,1.13522,1.13574
2019-01-02 15:30:00,1.13574,1.136,1.13421,1.13538
2019-01-02 16:00:00,1.13542,1.1362,1.13526,1.13549
2019-01-02 16:30:00,1.1355,1.13596,1.1349,1.13564
2019-01-02 17:00:00,1.13565,1.1357,1.13351,1.13472
2019-01-02 17:30:00,1.13472,1.1351,1.13313,1.13353
2019-01-02 18:00:00,1.13355,1.13364,1.13262,1.13302
