Date,price
2004-01-01,1.2581939697265625
2004-01-02,1.2581939697265625
2004-01-05,1.2686975002288818
2004-01-06,1.2721028327941895
2004-01-07,1.2640947103500366
2004-01-08,1.2774981260299683
2004-01-09,1.2858924865722656
2004-01-12,1.2740962505340576
2004-01-13,1.278592586517334
2004-01-14,1.2651021480560303
2004-01-15,1.260096549987793
2004-01-16,1.239802598953247
2004-01-19,1.235406756401062
2004-01-20,1.2589067220687866
2004-01-21,1.2659028768539429
2004-01-22,1.2725075483322144
2004-01-23,1.2583048343658447
2004-01-26,1.2487980127334595
2004-01-27,1.2636953592300415
2004-01-28,1.2441989183425903
2004-01-29,1.2410026788711548
2004-01-30,1.2468050718307495
2004-02-02,1.2433016300201416
2004-02-03,1.2534940242767334
2004-02-04,1.2539970874786377
2004-02-05,1.2571974992752075
2004-02-06,1.2700024843215942
2004-02-09,1.2694060802459717
2004-02-10,1.26850426197052
2004-02-11,1.2830052375793457
2004-02-12,1.2818048000335693
2004-02-13,1.272799015045166
2004-02-16,1.2765034437179565
2004-02-17,1.2857933044433594
2004-02-18,1.2725075483322144
2004-02-19,1.2757054567337036
2004-02-20,1.2542015314102173
2004-02-23,1.2571974992752075
2004-02-24,1.2677966356277466
2004-02-25,1.249703288078308
2004-02-26,1.2448029518127441
2004-02-27,1.2494065761566162
2004-03-01,1.2448029518127441
2004-03-02,1.220405101776123
2004-03-03,1.2190959453582764
2004-03-04,1.220703125
2004-03-05,1.2367972135543823
2004-03-08,1.242606520652771
2004-03-09,1.2319064140319824
2004-03-10,1.2231967449188232
2004-03-11,1.235101580619812
2004-03-12,1.2224042415618896
2004-03-15,1.22720468044281
2004-03-16,1.2261061668395996
2004-03-17,1.2227030992507935
2004-03-18,1.2388964891433716
2004-03-19,1.2269035577774048
2004-03-22,1.2345983982086182
2004-03-23,1.2345069646835327
2004-03-24,1.2139016389846802
2004-03-25,1.2136952877044678
2004-03-26,1.212694525718689
2004-03-29,1.216604232788086
2004-03-30,1.2185016870498657
2004-03-31,1.231299638748169
2004-04-01,1.2365065813064575
2004-04-02,1.2129004001617432
2004-04-05,1.201302170753479
2004-04-06,1.213106393814087
2004-04-07,1.216604232788086
2004-04-08,1.2077003717422485
2004-04-09,1.208605170249939
2004-04-12,1.2073066234588623
2004-04-13,1.193801760673523
2004-04-14,1.1947003602981567
2004-04-15,1.1986957788467407
2004-04-16,1.2002928256988525
2004-04-19,1.2006964683532715
2004-04-20,1.184805989265442
2004-04-21,1.1810001134872437
2004-04-22,1.1925063133239746
2004-04-23,1.1850025653839111
2004-04-26,1.1861974000930786
2004-04-27,1.1929045915603638
2004-04-28,1.1843008995056152
2004-04-29,1.196000576019287
2004-04-30,1.198293685913086
2004-05-03,1.193602204322815
2004-05-04,1.2105072736740112
2004-05-05,1.215894103050232
2004-05-06,1.2077003717422485
2004-05-07,1.1880011558532715
2004-05-10,1.1845955848693848
2004-05-11,1.1881988048553467
2004-05-12,1.190504550933838
2004-05-13,1.1804006099700928
2004-05-14,1.1881988048553467
2004-05-17,1.2025011777877808
2004-05-18,1.1945005655288696
2004-05-19,1.2003936767578125
2004-05-20,1.1957002878189087
2004-05-21,1.2028049230575562
2004-05-24,1.199903964996338
2004-05-25,1.210097074508667
2004-05-26,1.2110936641693115
2004-05-27,1.227596402168274
2004-05-28,1.2218068838119507
2004-05-31,1.2198989391326904
2004-06-01,1.2244998216629028
2004-06-02,1.2218962907791138
2004-06-03,1.2221053838729858
2004-06-04,1.2275059223175049
2004-06-07,1.2318001985549927
2004-06-08,1.2261061668395996
2004-06-09,1.2042969465255737
2004-06-10,1.2109030485153198
2004-06-11,1.2015043497085571
2004-06-14,1.2061998844146729
2004-06-15,1.216604232788086
2004-06-16,1.2006964683532715
2004-06-17,1.20339834690094
2004-06-18,1.2145060300827026
2004-06-21,1.2126061916351318
2004-06-22,1.2121946811676025
2004-06-23,1.208605170249939
2004-06-24,1.2174040079116821
2004-06-25,1.2203009128570557
2004-06-28,1.2186946868896484
2004-06-29,1.2098042964935303
2004-06-30,1.218397855758667
2004-07-01,1.2162047624588013
2004-07-02,1.2311025857925415
2004-07-05,1.229997158050537
2004-07-06,1.2285012006759644
2004-07-07,1.2371032238006592
2004-07-08,1.2394952774047852
2004-07-09,1.241896629333496
2004-07-12,1.240802526473999
2004-07-13,1.2333041429519653
2004-07-14,1.2384973764419556
2004-07-15,1.235605239868164
2004-07-16,1.245593786239624
2004-07-19,1.2439976930618286
2004-07-20,1.2333954572677612
2004-07-21,1.226301670074463
2004-07-22,1.2255953550338745
2004-07-23,1.2095993757247925
2004-07-26,1.2139016389846802
2004-07-27,1.2064036130905151
2004-07-28,1.2043983936309814
2004-07-29,1.2038040161132812
2004-07-30,1.2016053199768066
2004-08-02,1.2021976709365845
2004-08-03,1.2052984237670898
2004-08-04,1.2059961557388306
2004-08-05,1.2051968574523926
2004-08-06,1.2307995557785034
2004-08-09,1.2272950410842896
2004-08-10,1.2236007452011108
2004-08-11,1.222195029258728
2004-08-12,1.223900318145752
2004-08-13,1.237593173980713
2004-08-16,1.2358952760696411
2004-08-17,1.2345069646835327
2004-08-18,1.2340041399002075
2004-08-19,1.2371950149536133
2004-08-20,1.2321947813034058
2004-08-23,1.2151997089385986
