time,price
2018-01-01 22:00:00+00:00,1.2012049999999999
2018-01-02 04:00:00+00:00,1.207055
2018-01-02 10:00:00+00:00,1.20444
2018-01-02 16:00:00+00:00,1.2058
2018-01-02 22:00:00+00:00,1.20469
2018-01-03 04:00:00+00:00,1.203825
2018-01-03 10:00:00+00:00,1.2023549999999998
2018-01-03 16:00:00+00:00,1.201445
2018-01-03 22:00:00+00:00,1.20145
2018-01-04 04:00:00+00:00,1.2043
2018-01-04 10:00:00+00:00,1.20744
2018-01-04 16:00:00+00:00,1.20683
2018-01-04 22:00:00+00:00,1.20747
2018-01-05 04:00:00+00:00,1.2046000000000001
2018-01-05 10:00:00+00:00,1.2036449999999999
2018-01-05 16:00:00+00:00,1.20297
2018-01-07 22:00:00+00:00,1.203265
2018-01-08 04:00:00+00:00,1.19899
2018-01-08 10:00:00+00:00,1.19753
2018-01-08 16:00:00+00:00,1.19687
2018-01-08 22:00:00+00:00,1.19719
2018-01-09 04:00:00+00:00,1.193855
2018-01-09 10:00:00+00:00,1.1929699999999999
2018-01-09 16:00:00+00:00,1.1936900000000001
2018-01-09 22:00:00+00:00,1.194185
2018-01-10 04:00:00+00:00,1.1938900000000001
2018-01-10 10:00:00+00:00,1.1983000000000001
2018-01-10 16:00:00+00:00,1.19474
2018-01-10 22:00:00+00:00,1.195365
2018-01-11 04:00:00+00:00,1.19477
2018-01-11 10:00:00+00:00,1.204915
2018-01-11 16:00:00+00:00,1.203205
2018-01-11 22:00:00+00:00,1.205165
2018-01-12 04:00:00+00:00,1.21253
2018-01-12 10:00:00+00:00,1.21482
2018-01-12 16:00:00+00:00,1.2196799999999999
2018-01-14 22:00:00+00:00,1.22001
2018-01-15 04:00:00+00:00,1.22604
2018-01-15 10:00:00+00:00,1.2259799999999998
2018-01-15 16:00:00+00:00,1.226365
2018-01-15 22:00:00+00:00,1.22573
2018-01-16 04:00:00+00:00,1.22332
2018-01-16 10:00:00+00:00,1.22296
2018-01-16 16:00:00+00:00,1.22607
2018-01-16 22:00:00+00:00,1.2267199999999998
2018-01-17 04:00:00+00:00,1.223655
2018-01-17 10:00:00+00:00,1.224275
2018-01-17 16:00:00+00:00,1.21854
2018-01-17 22:00:00+00:00,1.217985
2018-01-18 04:00:00+00:00,1.221435
2018-01-18 10:00:00+00:00,1.223915
2018-01-18 16:00:00+00:00,1.223895
2018-01-18 22:00:00+00:00,1.22667
2018-01-19 04:00:00+00:00,1.22816
2018-01-19 10:00:00+00:00,1.222085
2018-01-19 16:00:00+00:00,1.22211
2018-01-21 22:00:00+00:00,1.2229
2018-01-22 04:00:00+00:00,1.22495
2018-01-22 10:00:00+00:00,1.22537
2018-01-22 16:00:00+00:00,1.226135
2018-01-22 22:00:00+00:00,1.2257799999999999
2018-01-23 04:00:00+00:00,1.223765
2018-01-23 10:00:00+00:00,1.229295
2018-01-23 16:00:00+00:00,1.229895
2018-01-23 22:00:00+00:00,1.23143
2018-01-24 04:00:00+00:00,1.23369
2018-01-24 10:00:00+00:00,1.2380849999999999
2018-01-24 16:00:00+00:00,1.2408
2018-01-24 22:00:00+00:00,1.243145
2018-01-25 04:00:00+00:00,1.243185
2018-01-25 10:00:00+00:00,1.25039
2018-01-25 16:00:00+00:00,1.2398
2018-01-25 22:00:00+00:00,1.24294
2018-01-26 04:00:00+00:00,1.24556
2018-01-26 10:00:00+00:00,1.243295
2018-01-26 16:00:00+00:00,1.24296
2018-01-28 22:00:00+00:00,1.2415150000000001
2018-01-29 04:00:00+00:00,1.24119
2018-01-29 10:00:00+00:00,1.23563
2018-01-29 16:00:00+00:00,1.23827
2018-01-29 22:00:00+00:00,1.23785
2018-01-30 04:00:00+00:00,1.239855
