time,EURUSD,GBPUSD,EURAUD
2018-01-01 22:00:00+00:00,1.2012049999999999,1.351705,1.5333899999999998
2018-01-02 04:00:00+00:00,1.207055,1.35483,1.54048
2018-01-02 10:00:00+00:00,1.20444,1.35786,1.53798
2018-01-02 16:00:00+00:00,1.2058,1.3591799999999998,1.540185
2018-01-02 22:00:00+00:00,1.20469,1.35953,1.542225
2018-01-03 04:00:00+00:00,1.203825,1.358605,1.53657
2018-01-03 10:00:00+00:00,1.2023549999999998,1.351485,1.5350350000000001
2018-01-03 16:00:00+00:00,1.201445,1.35179,1.53348
2018-01-03 22:00:00+00:00,1.20145,1.35179,1.534065
2018-01-04 04:00:00+00:00,1.2043,1.35446,1.535695
2018-01-04 10:00:00+00:00,1.20744,1.3552300000000002,1.5361250000000002
2018-01-04 16:00:00+00:00,1.20683,1.3553199999999999,1.534525
2018-01-04 22:00:00+00:00,1.20747,1.356605,1.536695
2018-01-05 04:00:00+00:00,1.2046000000000001,1.35309,1.5354100000000002
2018-01-05 10:00:00+00:00,1.2036449999999999,1.356215,1.53183
2018-01-05 16:00:00+00:00,1.20297,1.3565399999999999,1.52997
2018-01-07 22:00:00+00:00,1.203265,1.356865,1.53255
2018-01-08 04:00:00+00:00,1.19899,1.3527900000000002,1.529995
2018-01-08 10:00:00+00:00,1.19753,1.35807,1.5281099999999999
2018-01-08 16:00:00+00:00,1.19687,1.3566099999999999,1.5262
2018-01-08 22:00:00+00:00,1.19719,1.3578999999999999,1.5225650000000002
2018-01-09 04:00:00+00:00,1.193855,1.3530600000000002,1.527285
2018-01-09 10:00:00+00:00,1.1929699999999999,1.35245,1.5255450000000002
2018-01-09 16:00:00+00:00,1.1936900000000001,1.35415,1.52575
2018-01-09 22:00:00+00:00,1.194185,1.35333,1.52584
2018-01-10 04:00:00+00:00,1.1938900000000001,1.34978,1.52478
2018-01-10 10:00:00+00:00,1.1983000000000001,1.353355,1.5268899999999999
2018-01-10 16:00:00+00:00,1.19474,1.3508499999999999,1.5234
2018-01-10 22:00:00+00:00,1.195365,1.35043,1.518715
2018-01-11 04:00:00+00:00,1.19477,1.3487650000000002,1.51748
2018-01-11 10:00:00+00:00,1.204915,1.3535149999999998,1.53024
2018-01-11 16:00:00+00:00,1.203205,1.35366,1.524625
2018-01-11 22:00:00+00:00,1.205165,1.3548749999999998,1.529175
2018-01-12 04:00:00+00:00,1.21253,1.361205,1.5391949999999999
2018-01-12 10:00:00+00:00,1.21482,1.36893,1.53929
2018-01-12 16:00:00+00:00,1.2196799999999999,1.3732199999999999,1.5408
2018-01-14 22:00:00+00:00,1.22001,1.374085,1.53633
2018-01-15 04:00:00+00:00,1.22604,1.379115,1.539765
2018-01-15 10:00:00+00:00,1.2259799999999998,1.380175,1.537695
2018-01-15 16:00:00+00:00,1.226365,1.3795000000000002,1.539685
2018-01-15 22:00:00+00:00,1.22573,1.3783400000000001,1.539495
2018-01-16 04:00:00+00:00,1.22332,1.37657,1.53833
2018-01-16 10:00:00+00:00,1.22296,1.377415,1.5368650000000001
2018-01-16 16:00:00+00:00,1.22607,1.3792300000000002,1.5402
2018-01-16 22:00:00+00:00,1.2267199999999998,1.3788749999999999,1.540125
2018-01-17 04:00:00+00:00,1.223655,1.379445,1.534415
2018-01-17 10:00:00+00:00,1.224275,1.383425,1.53481
2018-01-17 16:00:00+00:00,1.21854,1.38297,1.52888
2018-01-17 22:00:00+00:00,1.217985,1.380785,1.531555
2018-01-18 04:00:00+00:00,1.221435,1.384315,1.531095
2018-01-18 10:00:00+00:00,1.223915,1.388215,1.5326149999999998
2018-01-18 16:00:00+00:00,1.223895,1.38927,1.5300799999999999
2018-01-18 22:00:00+00:00,1.22667,1.39212,1.530005
2018-01-19 04:00:00+00:00,1.22816,1.391415,1.5309400000000002
2018-01-19 10:00:00+00:00,1.222085,1.384565,1.527355
2018-01-19 16:00:00+00:00,1.22211,1.38558,1.52874
2018-01-21 22:00:00+00:00,1.2229,1.387245,1.5297
2018-01-22 04:00:00+00:00,1.22495,1.38981,1.529245
2018-01-22 10:00:00+00:00,1.22537,1.396805,1.5275699999999999
2018-01-22 16:00:00+00:00,1.226135,1.39859,1.52942
