air_pressure_9am,air_temp_9am,avg_wind_direction_9am,avg_wind_speed_9am,max_wind_direction_9am,max_wind_speed_9am,rain_accumulation_9am,rain_duration_9am,relative_humidity_9am,high_humidity_3pm
918.06,74.822,271.1,2.0803542,295.4,2.8632832,0.0,0.0,42.42,1
917.3476881000001,71.40384263,101.93517940000001,2.443009216,140.4715485,3.533323602,0.0,0.0,24.32869729,0
923.04,60.638000000000005,51.0,17.0678522,63.7,22.1009672,0.0,20.0,8.9,0
920.5027512,70.13889487,198.8321327,4.337363056,211.2033412,5.19004536,0.0,0.0,12.18910187,0
921.16,44.294,277.8,1.8566601999999999,136.5,2.8632832,8.9,14730.0,92.41,1
915.3,78.404,182.8,9.9320136,189.0,10.9833754,0.02,170.0,35.13,1
915.5988675000001,70.04330432,177.87540719999998,3.745586538,186.6066959,4.589632429,0.0,0.0,10.65742166,0
918.07,51.71,242.4,2.5277422,271.6,3.6462122000000003,0.0,0.0,80.47,1
920.08,80.582,40.7,4.5186188,63.0,5.8831522000000005,0.0,0.0,29.58,0
915.01,47.498000000000005,163.1,4.9436374,195.9,6.576603599999999,0.0,0.0,88.6,1
919.65,77.036,70.6,3.8251673999999998,85.5,4.7646822,0.0,0.0,22.07,1
915.64,45.716,241.6,5.8607828,265.8,8.0306146,0.55,1770.0,90.56,1
917.39,49.784,204.1,1.2750558,211.8,2.013246,0.0,0.0,73.15,1
920.82,62.438,213.6,2.6172197999999995,165.7,3.3106712,0.0,0.0,43.64,1
911.0,86.432,202.9,1.2079476,162.9,1.677705,0.0,0.0,15.19,0
922.3831312000001,70.86526349,36.17417478,1.847278084,58.42863249,2.529142074,0.0,0.0,12.11088934,0
917.89,,169.2,2.1922012000000004,196.8,2.9303914,0.0,0.0,48.99,1
916.9152554,77.01896058,234.53934500000003,2.274725297,229.47419869999996,2.9065131089999996,0.0,0.0,21.03146177,0
918.8,67.082,176.1,4.8765292,183.4,5.5699806,0.0,0.0,18.9,1
922.04,68.57600000000001,58.3,9.551733800000001,81.9,12.5716028,0.0,0.0,7.54,0
919.9922622000001,62.96438312,54.79909362,12.68043574,74.25422349,15.45230581,0.0,0.0,18.80951786,0
917.23,67.676,177.8,2.460634,93.2,3.2883017999999997,0.0,0.0,40.64,1
921.125626,68.81877189,71.79909228,2.576537767,95.47233356,3.487443587,0.0,0.0,11.74220123,0
920.35,47.57,192.1,6.263432,205.7,7.605596,0.0,0.0,54.55,1
921.7882288999999,71.65957221,217.4055201,1.946446506,253.75800299999997,2.7197116589999997,0.0,0.0,11.19424977,0
918.03,50.666000000000004,128.9,2.5277422,117.4,4.0041226000000005,0.0,0.0,76.88,1
914.49,49.891999999999996,163.0,4.8541598,189.6,6.7331894,0.0,0.0,92.1,1
914.9,78.62,203.3,1.8119214,240.0,2.7514362,0.0,220.0,47.89,1
915.84,40.118,171.9,10.535987400000002,188.0,12.9295132,0.0,0.0,86.43,1
916.31,45.428000000000004,183.1,8.3437862,194.6,10.088599400000001,0.0,0.0,86.15,1
919.35,91.11200000000001,96.4,2.5277422,96.3,3.3777794,0.0,0.0,25.62,1
916.28,55.544,174.6,2.5948504,191.7,3.3777794,0.0,0.0,79.92,1
918.7,76.226,184.6,4.0936002,194.9,4.7423128,0.0,0.0,19.17,1
918.37,63.913999999999994,53.7,14.4506324,72.1,17.045482800000002,0.0,0.0,19.68,0
923.6,59.882,192.8,4.2949247999999995,203.5,5.1897008,0.0,0.0,22.47,0
917.3,85.08200000000001,149.7,2.013246,71.0,2.8632832,0.0,0.0,32.02,1
912.64,53.996,177.7,6.822667,190.7,8.6345884,0.0,0.0,89.77,1
914.67,64.166,137.8,2.125093,177.0,2.7290667999999996,0.0,0.0,58.57,1
914.66,50.36,177.6,8.522741400000001,186.3,10.0214912,0.0,20.0,91.22,1
921.9699513,60.95534153,164.621486,1.664442299,195.7799675,2.3671811330000003,0.0,0.0,12.1096289,0
919.3,64.22,182.2,10.7596814,186.5,11.788673800000002,0.0,0.0,34.63,1
921.09,68.666,50.7,14.204569000000001,62.5,17.045482800000002,0.0,0.0,17.58,0
921.5,49.55,90.7,1.7448131999999998,112.3,2.684328,1.53,5420.0,34.35,1
914.9,64.688,174.6,5.6594582,184.5,6.8674058,0.0,0.0,43.37,1
924.2,68.882,56.3,9.8872748,69.0,11.8781514,0.0,0.0,14.23,0
914.54,67.658,170.2,8.2543086,184.3,10.849159,0.0,0.0,35.05,1
917.9,65.66,183.7,6.0621074,188.5,6.5094954000000005,0.021,319.0,74.22,1
916.05,87.18799999999999,210.0,1.565858,109.3,2.5948504,0.0,0.0,12.88,0
920.23,67.316,153.2,1.230317,136.9,2.0803542,0.0,0.0,13.89,0
923.6636768,69.03107042,64.68990787,7.55777528,73.04923224,8.819354482,0.0,0.0,14.69250133,0
921.9,65.876,199.0,4.496249400000001,207.2,5.3239171999999995,0.0,0.0,10.35,0
918.58,76.982,150.7,1.3197946000000003,182.0,1.9461378,0.0,0.0,15.54,1
922.36,74.336,166.9,4.1830777999999995,210.0,6.9121445999999995,0.0,0.0,12.48,0
922.928409,68.92146556,54.66611121,9.787407400000001,82.62134109,13.33468856,0.0,0.0,8.082800654,0
923.01855,70.33053243,152.56354209999998,3.059696039,181.27478,4.269037625,0.0,0.0,22.85968417,0
916.42,45.013999999999996,82.8,3.0646077999999997,129.8,4.8094209999999995,8.74,7000.0,57.71,1
922.57,45.626000000000005,182.8,5.2120702,191.4,6.017368599999999,0.0,0.0,85.71,1
920.03,66.992,172.5,2.460634,168.1,3.3106712,0.0,0.0,29.89,1
919.09,76.766,166.2,1.2974252,199.0,1.8119214,0.0,0.0,19.74,0
916.18,61.303999999999995,173.6,1.7224438000000002,209.4,2.5277422,0.0,0.0,78.78,1
917.8,73.778,181.9,0.9395148000000001,185.3,1.5434886,0.0,0.0,11.48,0
918.54,46.652,213.6,16.4862478,221.2,18.029736399999997,0.08,1153.0,91.36,1
918.24,61.988,78.4,4.4515106,45.1,5.8384134,0.0,0.0,60.65,1
917.02,53.258,180.2,3.131716,216.6,4.4515106,0.0,0.0,25.09,1
919.41,78.314,183.7,3.7580592000000004,42.7,5.3910254,0.0,0.0,29.71,0
